Soil Type (Region),pH,N,P,K,Humidity (%),Temp (°C),Best Crops,Fertilizer Recommendation
"Ferralsols (Centre, South forest zone)",5.1,110.0,5.8,56.4,82.9,28.5,"Oil Palm, Cocoa",Urea + DAP + Lime
Lateritic soils (East region),4.8,101.2,6.7,83.7,84.8,25.7,"Cocoyam, Groundnuts",NPK 20-10-10
Fluvisols (River valleys),6.0,224.1,45.6,184.9,87.2,24.7,"Maize, Tomato, Rice",Balanced NPK
Sandy soils (Far North),6.3,59.4,9.7,259.1,27.4,37.6,"Onion, Sorghum, Watermelon",DAP + MOP
Fluvisols (River valleys),6.5,250.4,59.4,237.1,80.3,26.2,"Maize, Rice, Pepper, Beans",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.5,139.1,20.4,270.3,48.1,36.8,"Groundnuts, Sorghum",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.2,173.9,59.0,141.6,85.3,21.9,"Tea, Irish Potato",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.0,112.1,15.0,277.4,44.8,37.1,"Sesame, Cowpea, Groundnuts",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.5,59.8,8.8,36.9,31.7,33.4,"Sesame, Groundnuts, Millet, Onion",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.2,133.8,15.4,232.6,36.4,35.4,"Sesame, Cowpea, Sorghum, Cotton",DAP + MOP
Lateritic soils (East region),4.7,69.1,12.3,95.7,72.9,30.1,"Cassava, Plantain",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.6,211.8,24.7,159.5,90.5,29.8,"Oil Palm, Taro, Rice, Plantain",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.7,84.7,15.4,96.1,92.7,27.0,"Cassava, Banana, Oil Palm",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.0,152.7,13.6,255.2,42.9,35.2,"Cotton, Millet, Groundnuts",DAP + MOP
Black soils (Mbam valley),6.9,231.4,37.5,40.5,71.1,24.4,"Rice, Tomato, Pepper",Urea + MOP
Sandy soils (Far North),6.6,36.5,9.5,255.2,42.2,39.7,"Millet, Sesame, Sorghum, Cowpea",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.5,184.7,40.2,133.3,90.9,28.3,"Taro, Oil Palm, Banana, Rice",Urea + DAP
"Nitisols (West, Northwest highlands)",6.2,242.5,50.8,195.4,85.4,22.0,"Maize, Beans",Urea + DAP
Clay soils (Western Highlands),6.9,171.0,31.8,175.8,76.2,19.0,"Carrot, Beans, Maize",Urea + DAP + MOP
Clay soils (Western Highlands),7.4,152.7,37.5,188.4,89.1,18.0,"Maize, Carrot, Cabbage",Urea + DAP + MOP
Black soils (Mbam valley),7.2,173.7,50.3,50.9,76.6,25.7,"Maize, Vegetables",Urea + MOP
Lateritic soils (East region),4.8,61.7,6.5,61.0,74.1,28.5,"Cassava, Groundnuts, Yam",NPK 20-10-10
Fluvisols (River valleys),6.2,245.8,58.7,182.5,75.4,26.5,"Pepper, Tomato, Maize",Balanced NPK
Clay soils (Western Highlands),7.0,162.2,27.5,180.2,78.6,18.1,"Beans, Carrot",Urea + DAP + MOP
Fluvisols (River valleys),6.9,199.2,46.1,195.1,78.4,24.1,"Pepper, Tomato, Beans, Okra",Balanced NPK
Clay soils (Western Highlands),6.8,177.5,23.6,209.8,86.7,20.3,"Maize, Irish Potato, Tomato",Urea + DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",4.8,184.3,25.5,134.6,93.8,27.6,"Rice, Sugarcane, Taro",Urea + DAP
"Arenosols (Far North, Sahel fringe)",6.6,43.7,4.1,61.0,32.9,34.9,"Onion, Groundnuts, Sesame",Urea + MOP
"Arenosols (Far North, Sahel fringe)",7.0,64.2,11.2,39.9,28.5,37.4,"Groundnuts, Sesame, Cowpea, Millet",Urea + MOP
"Lixisols (Adamawa, North transition)",5.4,88.1,16.0,91.7,56.6,28.0,"Sorghum, Groundnuts, Yam",NPK 15-15-15
"Nitisols (West, Northwest highlands)",5.6,225.7,55.3,201.4,80.5,22.5,"Irish Potato, Cabbage",Urea + DAP
Lateritic soils (East region),5.3,93.2,15.4,83.9,80.0,25.7,"Cassava, Yam, Groundnuts, Plantain",NPK 20-10-10
"Lixisols (Adamawa, North transition)",5.5,83.4,21.9,108.9,70.4,26.7,"Sorghum, Groundnuts",NPK 15-15-15
Fluvisols (River valleys),6.2,198.2,57.1,231.4,77.9,24.7,"Pepper, Beans, Vegetables",Balanced NPK
"Lixisols (Adamawa, North transition)",5.7,85.8,21.4,98.6,60.6,30.1,"Yam, Cassava, Sorghum, Cowpea",NPK 15-15-15
Fluvisols (River valleys),6.8,193.1,56.8,167.8,85.9,25.7,"Maize, Tomato",Balanced NPK
"Ferralsols (Centre, South forest zone)",5.1,112.3,6.9,73.7,79.8,28.7,"Banana, Oil Palm, Pineapple",Urea + DAP + Lime
Fluvisols (River valleys),6.1,218.7,44.2,235.3,80.6,23.4,"Okra, Rice, Beans",Balanced NPK
"Arenosols (Far North, Sahel fringe)",7.4,62.3,9.6,47.2,20.8,36.7,"Cowpea, Groundnuts, Watermelon",Urea + MOP
Clay soils (Western Highlands),7.2,204.6,30.3,180.0,79.5,17.6,"Beans, Maize, Carrot",Urea + DAP + MOP
"Lixisols (Adamawa, North transition)",5.9,102.5,11.4,109.1,58.5,26.8,"Groundnuts, Sorghum",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.3,222.7,33.6,101.7,91.4,25.9,"Plantain, Taro, Oil Palm, Banana",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.1,81.6,6.3,76.8,80.2,24.9,"Cocoa, Cassava, Plantain",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.8,114.1,16.2,248.0,44.6,33.8,"Sorghum, Groundnuts",DAP + MOP
Fluvisols (River valleys),6.9,242.4,57.3,211.0,85.2,26.8,"Maize, Pepper",Balanced NPK
"Nitisols (West, Northwest highlands)",5.9,193.8,51.4,223.1,85.8,22.9,"Carrot, Arabica Coffee, Cabbage",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",4.9,224.0,40.6,146.6,94.4,26.9,"Plantain, Sugarcane, Taro, Oil Palm",Urea + DAP
"Nitisols (West, Northwest highlands)",6.3,196.3,52.2,233.6,84.8,22.0,"Carrot, Maize, Beans, Arabica Coffee",Urea + DAP
Sandy soils (Far North),7.0,48.8,7.3,208.6,35.7,36.0,"Watermelon, Sorghum, Onion",DAP + MOP
Lateritic soils (East region),5.4,71.4,9.3,48.5,81.0,25.2,"Cassava, Sweet Potato, Plantain",NPK 20-10-10
Sandy soils (Far North),6.9,61.6,11.6,234.8,40.1,31.7,"Onion, Millet, Sesame, Watermelon",DAP + MOP
Fluvisols (River valleys),6.8,225.4,55.7,192.9,74.4,24.1,"Beans, Okra",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.3,110.8,11.6,231.2,50.5,39.7,"Sesame, Groundnuts, Cowpea, Sorghum",DAP + MOP
Lateritic soils (East region),5.3,117.2,6.4,48.3,77.0,28.8,"Cassava, Groundnuts, Sweet Potato",NPK 20-10-10
"Vertisols (Far North, Diamare plain)",7.7,139.5,12.1,214.5,34.5,33.2,"Sorghum, Cotton, Groundnuts, Cowpea",DAP + MOP
Black soils (Mbam valley),6.7,205.8,35.6,45.7,75.2,30.0,"Tomato, Vegetables",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.2,166.0,37.7,190.6,94.0,21.3,"Banana, Coffee, Plantain",Urea + DAP + Lime
Black soils (Mbam valley),7.0,149.5,36.0,67.9,73.2,26.8,"Maize, Vegetables, Pepper, Rice",Urea + MOP
Clay soils (Western Highlands),6.7,139.2,32.2,160.8,78.8,17.1,"Tomato, Lettuce, Irish Potato, Carrot",Urea + DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,181.9,42.8,153.7,87.1,20.0,"Banana, Plantain, Avocado, Coffee",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.7,132.1,11.9,249.5,46.2,34.0,"Groundnuts, Cotton, Cowpea, Sorghum",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,181.0,48.8,174.7,85.8,16.5,"Banana, Tea, Avocado",Urea + DAP + Lime
Fluvisols (River valleys),6.1,247.5,62.1,180.5,76.2,24.7,"Tomato, Vegetables, Rice, Okra",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.4,106.6,11.2,196.1,38.1,32.2,"Sorghum, Cowpea",DAP + MOP
"Nitisols (West, Northwest highlands)",6.2,203.5,48.3,197.0,79.6,20.3,"Carrot, Maize, Beans",Urea + DAP
Fluvisols (River valleys),6.8,201.7,60.4,220.4,80.6,23.1,"Pepper, Vegetables, Okra",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",5.2,235.6,45.3,122.3,85.1,19.0,"Plantain, Banana, Cocoa, Coffee",Urea + DAP + Lime
Black soils (Mbam valley),7.0,167.6,30.9,75.3,78.3,24.1,"Rice, Maize, Tomato, Pepper",Urea + MOP
"Ferralsols (Centre, South forest zone)",4.7,99.7,14.4,52.7,88.5,27.2,"Plantain, Oil Palm",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.8,85.1,14.6,75.0,67.7,25.1,"Maize, Groundnuts",NPK 15-15-15
"Ferralsols (Centre, South forest zone)",4.4,75.7,7.4,73.9,83.5,28.8,"Plantain, Cassava, Pineapple",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,200.5,53.0,136.0,89.0,20.5,"Coffee, Plantain, Cocoa",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.5,183.3,24.7,105.3,90.2,28.7,"Plantain, Taro, Rice, Sugarcane",Urea + DAP
Clay soils (Western Highlands),6.7,129.4,43.7,181.4,83.7,21.5,"Cabbage, Tomato, Maize, Beans",Urea + DAP + MOP
Sandy soils (Far North),6.7,52.4,13.7,239.2,44.2,37.6,"Onion, Sorghum, Watermelon",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,259.4,50.1,139.7,89.7,20.1,"Cocoa, Coffee, Banana, Tea",Urea + DAP + Lime
